eval_budget,method,runs,normalized_simple_regret_mean,normalized_simple_regret_std
1,Bayesian Optimization,35,0.47884841197097333,0.31548725523373583
1,CrossDataset-HyperRL,35,0.7418408531664096,0.34962265606499415
1,CrossDataset-LC-DQN,35,0.3051271352346104,0.2787579120675591
1,Random Search,35,0.47884841197097333,0.31548725523373583
2,Bayesian Optimization,35,0.4525322510782352,0.309890203978906
2,CrossDataset-HyperRL,35,0.2523695550906894,0.24039975090166338
2,CrossDataset-LC-DQN,35,0.11593636809413033,0.19412550276094084
2,Random Search,35,0.4525322510782352,0.309890203978906
3,Bayesian Optimization,35,0.15563867705113182,0.1757612707324004
3,CrossDataset-HyperRL,35,0.18480323898827855,0.1506952249406072
3,CrossDataset-LC-DQN,35,0.09559186299100177,0.15376564954443023
3,Random Search,35,0.15563867705113182,0.1757612707324004
4,Bayesian Optimization,35,0.13518273759542765,0.17554602396449268
4,CrossDataset-HyperRL,35,0.1733687152095129,0.1495024207035034
4,CrossDataset-LC-DQN,35,0.0949638794233379,0.15079591874943635
4,Random Search,35,0.1429346106854141,0.175933258237065
5,Bayesian Optimization,35,0.12976568894804014,0.17565394098094764
5,CrossDataset-HyperRL,35,0.1706011821582366,0.14610940653391602
5,CrossDataset-LC-DQN,35,0.08995624744235901,0.14689459309089026
5,Random Search,35,0.1381445932752642,0.1767248116057414
6,Bayesian Optimization,35,0.11031322436030923,0.1687166556170557
6,CrossDataset-HyperRL,35,0.12981639626135588,0.12283650453232224
6,CrossDataset-LC-DQN,35,0.08970340422393375,0.14685775175363142
6,Random Search,35,0.13664700523297355,0.1751372729885041
7,Bayesian Optimization,35,0.10420546032270984,0.1589164148023763
7,CrossDataset-HyperRL,35,0.12981639626135588,0.12283650453232224
7,CrossDataset-LC-DQN,35,0.08939618163842702,0.14699264588896452
7,Random Search,35,0.13664700523297355,0.1751372729885041
8,Bayesian Optimization,35,0.09601649638373322,0.15579726941550345
8,CrossDataset-HyperRL,35,0.12947878574783203,0.1227247271260509
8,CrossDataset-LC-DQN,35,0.08939618163842702,0.14699264588896452
8,Random Search,35,0.11004184199803779,0.1523534128777567
9,Bayesian Optimization,35,0.09172872337080029,0.15376695023259504
9,CrossDataset-HyperRL,35,0.0573043638022793,0.07237831251512865
9,CrossDataset-LC-DQN,35,0.06668464276401356,0.08154022167376151
9,Random Search,35,0.09131884330191228,0.14480085454827488
10,Bayesian Optimization,35,0.07458593072238501,0.14686517643383978
10,CrossDataset-HyperRL,35,0.04597903630665029,0.05643004605195926
10,CrossDataset-LC-DQN,35,0.058491595137021374,0.07336162848023699
10,Random Search,35,0.09072887479129048,0.14468150138667676
11,Bayesian Optimization,35,0.06726027393612768,0.13883397490302515
11,CrossDataset-HyperRL,35,0.04597903630665029,0.05643004605195926
11,CrossDataset-LC-DQN,35,0.057535430833578344,0.0729636093105222
11,Random Search,35,0.08033771163103674,0.14303422671932878
12,Bayesian Optimization,35,0.06113928972545278,0.13506466633890776
12,CrossDataset-HyperRL,35,0.040256101827272774,0.04709300369582579
12,CrossDataset-LC-DQN,35,0.057535430833578344,0.0729636093105222
12,Random Search,35,0.08033771163103674,0.14303422671932878
13,Bayesian Optimization,35,0.06015301812115984,0.13542609496441937
13,CrossDataset-HyperRL,35,0.040256101827272774,0.04709300369582579
13,CrossDataset-LC-DQN,35,0.057535430833578344,0.0729636093105222
13,Random Search,35,0.08033771163103674,0.14303422671932878
14,Bayesian Optimization,35,0.057636818897115846,0.13558231574864307
14,CrossDataset-HyperRL,35,0.04001734191097201,0.04655065928706828
14,CrossDataset-LC-DQN,35,0.05743268198377167,0.07300861005303336
14,Random Search,35,0.08033771163103674,0.14303422671932878
15,Bayesian Optimization,35,0.049652961026324625,0.1355027562279447
15,CrossDataset-HyperRL,35,0.04001734191097201,0.04655065928706828
15,CrossDataset-LC-DQN,35,0.05743268198377167,0.07300861005303336
15,Random Search,35,0.0797027853541324,0.14332343037739675
16,Bayesian Optimization,35,0.048791410608675215,0.13502467514426875
16,CrossDataset-HyperRL,35,0.029601285840290245,0.041869835779980887
16,CrossDataset-LC-DQN,35,0.050931014018434806,0.06851940065413471
16,Random Search,35,0.05138067273654954,0.07078351080545266
17,Bayesian Optimization,35,0.04367950288309593,0.13324282584421623
17,CrossDataset-HyperRL,35,0.029601285840290245,0.041869835779980887
17,CrossDataset-LC-DQN,35,0.05061355087998264,0.06873472130314487
17,Random Search,35,0.05107345535450113,0.07084421574575575
18,Bayesian Optimization,35,0.0424221625997994,0.1331739077736509
18,CrossDataset-HyperRL,35,0.023878691614164962,0.037807892075086336
18,CrossDataset-LC-DQN,35,0.05061355087998264,0.06873472130314487
18,Random Search,35,0.05107345535450113,0.07084421574575575
19,Bayesian Optimization,35,0.03706918008498986,0.12544421380161308
19,CrossDataset-HyperRL,35,0.023878691614164962,0.037807892075086336
19,CrossDataset-LC-DQN,35,0.05036617734088622,0.06890552627290164
19,Random Search,35,0.05088985284940951,0.07090934373926575
20,Bayesian Optimization,35,0.034630105891478115,0.12426464774587734
20,CrossDataset-HyperRL,35,0.023878691614164962,0.037807892075086336
20,CrossDataset-LC-DQN,35,0.05036617734088622,0.06890552627290164
20,Random Search,35,0.05088985284940951,0.07090934373926575
