eval_budget,method,runs,normalized_simple_regret_mean,normalized_simple_regret_std
1,CrossDataset-LC-DQN,75,0.45831329390999886,0.5197154970168013
2,CrossDataset-LC-DQN,75,0.12931070074098863,0.12230534898783763
3,CrossDataset-LC-DQN,75,0.08937659139918247,0.08011553666076654
4,CrossDataset-LC-DQN,75,0.0740088455980876,0.06856113981678885
5,CrossDataset-LC-DQN,75,0.07172999643908486,0.0689571662743343
6,CrossDataset-LC-DQN,75,0.0691888000654494,0.0653842277073012
7,CrossDataset-LC-DQN,75,0.04700069987036147,0.03959562844635387
8,CrossDataset-LC-DQN,75,0.04309501174591067,0.03756795069010723
9,CrossDataset-LC-DQN,75,0.041751408948080826,0.03744013499780333
10,CrossDataset-LC-DQN,75,0.040416877501094364,0.035993929215094894
11,CrossDataset-LC-DQN,75,0.03790685356759471,0.0349736929051538
12,CrossDataset-LC-DQN,75,0.0350612616690328,0.029767085610098998
13,CrossDataset-LC-DQN,75,0.032382989878402164,0.02666563230026058
14,CrossDataset-LC-DQN,75,0.03170439471962719,0.026804595339239557
15,CrossDataset-LC-DQN,75,0.029828764148499352,0.02655223009612322
16,CrossDataset-LC-DQN,75,0.027733322083056795,0.02331982858937105
17,CrossDataset-LC-DQN,75,0.02735651533323039,0.02330413283752504
18,CrossDataset-LC-DQN,75,0.02685332068089792,0.02311659717207286
19,CrossDataset-LC-DQN,75,0.025937116435628068,0.02214527916627447
20,CrossDataset-LC-DQN,75,0.025450146200521963,0.021057092987694943
